Load,FCFS,PS,SRPT,Theory E[X]/(1-rho)
0.05,1.057711,1.057934,1.031062,1.052632
0.1,1.116211,1.116899,1.059596,1.111111
0.15,1.183125,1.183475,1.090912,1.176471
0.2,1.258081,1.258,1.124964,1.25
0.25,1.342085,1.342257,1.162378,1.333333
0.3,1.439467,1.439385,1.204652,1.428571
0.35,1.550941,1.549758,1.251208,1.538462
0.4,1.682204,1.681191,1.304872,1.666667
0.45,1.837492,1.836394,1.365948,1.818182
0.5,2.029823,2.030692,1.4398,2.0
0.55,2.27,2.271878,1.525804,2.222222
0.6,2.569993,2.570813,1.629051,2.5
0.65,2.960143,2.958158,1.755834,2.857143
0.7,3.478232,3.474764,1.919004,3.333333
0.75,4.189161,4.181143,2.131686,4.0
0.8,5.263588,5.250512,2.432041,5.0
0.85,7.066749,7.03733,2.887663,6.666667
0.9,10.593516,10.548117,3.702575,10.0
0.95,22.501902,22.463395,6.034781,20.0
